ncm;cest;uf_destino;regime;segmento;base_legal;data_inicio_vigencia;data_fim_vigencia
85369090;0101100;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85369090;1200400;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85381000;0106900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85389010;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85389010;0100700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85389010;1200500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85389090;1200500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85392910;0107100;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85437092;2111800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85437099;0900500;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85442000;1200700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85444200;1200700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85444900;0100200;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85444900;0100700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85444900;1200700;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85469000;1200800;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
85472090;1200900;MG;ST;Leite e Corte (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
90178090;0082100;MG;ST;Tintas (Eq. Monalisa);Lista supervisores 07/2026;2026-06-01;
